prospect_id,priority,lead_type,product_interest,name_or_profile,domain,mx_status,public_email,public_phone,whatsapp_url,guessed_email_candidates,deliverability_status,contact_url,public_social_links,source_url,activity_score,compliance_note,recommended_offer,next_action
CONTACT-2026-08-25-001,Medium,FX Media / Publisher,FX,"investingLive - Latest Forex News, Market Analysis & Trading Insights",forexlive.com,mx_found,,,,ib@forexlive.com; partnerships@forexlive.com; partners@forexlive.com; affiliate@forexlive.com; affiliates@forexlive.com; advertising@forexlive.com; ads@forexlive.com; media@forexlive.com,candidate_pattern_mx_found,https://www.forexlive.com/contact; https://www.forexlive.com/contact-us; https://www.forexlive.com/contact-us; https://investinglive.com/contact-us/; https://www.forexlive.com/contact-us; https://investinglive.com/contact-us/; https://www.forexlive.com/contact-us,https://x.com/investinglive_; https://t.me/investinglivenews; https://www.youtube.com/@investinglive_official; https://www.linkedin.com/company/investinglive,https://www.forexlive.com,100,Candidate role emails only. Not verified. Use only after manual verification and lawful basis review.,FX broker affiliate/IB outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
CONTACT-2026-08-25-002,High,FX Education / Tools Publisher,FX,Forex Trading Information,earnforex.com,mx_found,webmaster@earnforex.com,,,,public_email_unverified,https://www.earnforex.com/contact; https://www.earnforex.com/contact/; https://www.earnforex.com/ru/contact/,https://www.youtube.com/c/earnforexvideo; https://x.com/EarnForexBlog,https://www.earnforex.com,100,Publicly displayed business email. Verify relevance before one-to-one B2B outreach.,FX broker affiliate/IB outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
CONTACT-2026-08-25-003,Medium,Crypto Media / Publisher,Crypto Futures,"Decrypt: AI, Bitcoin, Culture, Gaming, and Crypto News - Decrypt",decrypt.co,mx_found,,,,partnerships@decrypt.co; partners@decrypt.co; affiliate@decrypt.co; affiliates@decrypt.co; advertising@decrypt.co; ads@decrypt.co; media@decrypt.co; business@decrypt.co,candidate_pattern_mx_found,https://decrypt.co/sponsor; https://dastan.co/partner; https://www.dastan.co/partner; https://decrypt.co/sponsor; https://decrypt.co/zh-Hans/sponsor; https://decrypt.co/sponsor#XMLID_6_; https://decrypt.co/sponsor#XMLID_2_; https://dastan.co/partner; https://www.dastan.co/partner,https://twitter.com/decryptmedia; https://www.linkedin.com/company/decrypt-media; https://www.tiktok.com/@decryptmedia; https://www.youtube.com/c/DecryptMedia; https://t.me/DecryptNews,https://decrypt.co,100,Candidate role emails only. Not verified. Use only after manual verification and lawful basis review.,Crypto exchange affiliate/partner outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
CONTACT-2026-08-25-004,High,Crypto Media / Publisher,Crypto Futures,"Latest News About Cryptocurrency, Bitcoin, Altcoin - AMBCrypto",ambcrypto.com,mx_found,editor@ambcrypto.com; advertise@ambcrypto.com; partners@ambcrypto.com,,,,public_email_unverified,https://ambcrypto.com/contact; https://ambcrypto.com/contact-us; https://ambcrypto.com/advertise; https://ambcrypto.com/partners; https://ambcrypto.com/partner; https://ambcrypto.com/contact-us/; https://ambcrypto.com/contact-us/; https://ambcrypto.com/contact#content; mailto:editor@ambcrypto.com; mailto:advertise@ambcrypto.com; mailto:partners@ambcrypto.com; https://ambcrypto.com/contact-us/; https://ambcrypto.com/contact-us#content; mailto:editor@ambcrypto.com; mailto:advertise@ambcrypto.com; mailto:partners@ambcrypto.com; https://ambcrypto.com/advertise#content; mailto:advertise@ambcrypto.com; https://ambcrypto.com/contact-us/; https://ambcrypto.com/partners/; https://ambcrypto.com/partners#content; https://ambcrypto.com/contact-us/; https://ambcrypto.com/partners/; https://ambcrypto.com/partner#content; https://ambcrypto.com/contact-us/,https://x.com/CryptoAmb; https://www.youtube.com/channel/UC8kD7TvdcdQUMvURhSnho4A; https://www.linkedin.com/company/13629485/; https://twitter.com/CryptoAmb; https://www.linkedin.com/company/ambcrypto/,https://ambcrypto.com,100,Publicly displayed business email. Verify relevance before one-to-one B2B outreach.,Crypto exchange affiliate/partner outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
CONTACT-2026-08-25-005,High,Crypto Media / Publisher,Crypto Futures,The Latest Bitcoin News & Expert Crypto Insights | NewsBTC,newsbtc.com,mx_found,contact@newsbtc.com,,,,public_email_unverified,https://www.newsbtc.com/contact; https://www.newsbtc.com/advertise; https://www.newsbtc.com/advertising; https://www.newsbtc.com/contact/; https://www.newsbtc.com/contact/; https://www.newsbtc.com/es/contact/; https://www.newsbtc.com/contact#; https://www.newsbtc.com/contact#back-to-top; https://www.newsbtc.com/contact/,https://t.me/newsbtcofficial; https://twitter.com/newsbtc; https://t.me/s/newsbtcofficial; https://www.youtube.com/channel/UC9v9erBEru5y4c3FA0wehEw,https://www.newsbtc.com,100,Publicly displayed business email. Verify relevance before one-to-one B2B outreach.,Crypto exchange affiliate/partner outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
CONTACT-2026-08-25-006,High,Stock / Crypto Community Platform,Stocks / Options,"Stocktwits - Stock Market Live Quotes, Social Community Discussions, News, Stock Rankings & Earnings",stocktwits.com,mx_found,apaul@stocktwits.com; abhowmik@stocktwits.com; snayar@stocktwits.com; enterprise@stocktwits.com,,,,public_email_unverified,https://www.stocktwits.com/contact; https://www.stocktwits.com/advertise; https://www.stocktwits.com/advertising; https://www.stocktwits.com/sponsor; https://www.stocktwits.com/partners; https://www.stocktwits.com/partner; https://www.stocktwits.com/affiliates; https://www.stocktwits.com/affiliate; https://stocktwits.com/contact; https://www.stocktwits.com/contact/following; https://www.stocktwits.com/contact/followers; https://stocktwits.com/sponsor; https://www.stocktwits.com/Sponsor/following; https://www.stocktwits.com/Sponsor/followers; https://stocktwits.com/partners; https://stocktwits.com/Partners; https://www.stocktwits.com/Partners/following; https://www.stocktwits.com/Partners/followers; https://stocktwits.com/partner; https://www.stocktwits.com/partner/following; https://www.stocktwits.com/partner/followers; https://stocktwits.com/affiliates; https://www.stocktwits.com/affiliates/following; https://www.stocktwits.com/affiliates/followers; https://stocktwits.com/affiliate; https://stocktwits.com/Affiliate; https://www.stocktwits.com/Affiliate/following; https://www.stocktwits.com/Affiliate/followers,https://twitter.com/stocktwits; https://stocktwits.com/contact; https://stocktwits.com/enterprise; https://stocktwits.com/advertising; https://stocktwits.com/sponsor,https://www.stocktwits.com,100,Publicly displayed business email. Verify relevance before one-to-one B2B outreach.,Trading platform partnership outreach,"Manually verify business relevance, then send compliant one-to-one B2B outreach."
CONTACT-2026-08-25-007,Medium,Trading Content Source,FX,Forex — Trading Ideas on TradingView,tradingview.com,mx_found,,,,ib@tradingview.com; partnerships@tradingview.com; partners@tradingview.com; affiliate@tradingview.com; affiliates@tradingview.com; advertising@tradingview.com; ads@tradingview.com; media@tradingview.com,candidate_pattern_mx_found,https://www.tradingview.com/advertising-info; https://www.tradingview.com/media-kit; https://www.tradingview.com/partner-program; https://www.tradingview.com/media-kit/; https://www.tradingview.com/advertising-info/; https://www.tradingview.com/partner-program/; https://www.tradingview.com/advertising-info/; https://in.tradingview.com/advertising-info/; https://de.tradingview.com/advertising-info/; https://fr.tradingview.com/advertising-info/; https://es.tradingview.com/advertising-info/; https://it.tradingview.com/advertising-info/; https://pl.tradingview.com/advertising-info/; https://tr.tradingview.com/advertising-info/; https://www.tradingview.com/media-kit/; https://in.tradingview.com/media-kit/; https://de.tradingview.com/media-kit/; https://fr.tradingview.com/media-kit/; https://es.tradingview.com/media-kit/; https://it.tradingview.com/media-kit/; https://pl.tradingview.com/media-kit/; https://tr.tradingview.com/media-kit/; https://www.tradingview.com/partner-program/; https://in.tradingview.com/partner-program/; https://de.tradingview.com/partner-program/; https://fr.tradingview.com/partner-program/; https://es.tradingview.com/partner-program/; https://it.tradingview.com/partner-program/; https://pl.tradingview.com/partner-program/; https://tr.tradingview.com/partner-program/,https://x.com/tradingview/; https://www.youtube.com/@TradingView; https://www.linkedin.com/company/tradingview/; https://t.me/tradingview/; https://www.tiktok.com/@tradingview/,https://www.tradingview.com/ideas/forex/,100,Candidate role emails only. Not verified. Use only after manual verification and lawful basis review.,FX broker affiliate/IB outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
CONTACT-2026-08-25-008,Medium,Trading Content Source,Metals / Energy CFD,Gold — Trading Ideas on TradingView,tradingview.com,mx_found,,,,ib@tradingview.com; partnerships@tradingview.com; partners@tradingview.com; affiliate@tradingview.com; affiliates@tradingview.com; advertising@tradingview.com; ads@tradingview.com; media@tradingview.com,candidate_pattern_mx_found,https://www.tradingview.com/advertising-info; https://www.tradingview.com/media-kit; https://www.tradingview.com/partner-program; https://www.tradingview.com/media-kit/; https://www.tradingview.com/advertising-info/; https://www.tradingview.com/partner-program/; https://www.tradingview.com/advertising-info/; https://in.tradingview.com/advertising-info/; https://de.tradingview.com/advertising-info/; https://fr.tradingview.com/advertising-info/; https://es.tradingview.com/advertising-info/; https://it.tradingview.com/advertising-info/; https://pl.tradingview.com/advertising-info/; https://tr.tradingview.com/advertising-info/; https://www.tradingview.com/media-kit/; https://in.tradingview.com/media-kit/; https://de.tradingview.com/media-kit/; https://fr.tradingview.com/media-kit/; https://es.tradingview.com/media-kit/; https://it.tradingview.com/media-kit/; https://pl.tradingview.com/media-kit/; https://tr.tradingview.com/media-kit/; https://www.tradingview.com/partner-program/; https://in.tradingview.com/partner-program/; https://de.tradingview.com/partner-program/; https://fr.tradingview.com/partner-program/; https://es.tradingview.com/partner-program/; https://it.tradingview.com/partner-program/; https://pl.tradingview.com/partner-program/; https://tr.tradingview.com/partner-program/,https://x.com/tradingview/; https://www.youtube.com/@TradingView; https://www.linkedin.com/company/tradingview/; https://t.me/tradingview/; https://www.tiktok.com/@tradingview/,https://www.tradingview.com/ideas/gold/,100,Candidate role emails only. Not verified. Use only after manual verification and lawful basis review.,Trading platform partnership outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
CONTACT-2026-08-25-009,Medium,Trading Content Source,Crypto Futures,Crypto — Trading Ideas on TradingView,tradingview.com,mx_found,,,,partnerships@tradingview.com; partners@tradingview.com; affiliate@tradingview.com; affiliates@tradingview.com; advertising@tradingview.com; ads@tradingview.com; media@tradingview.com; business@tradingview.com,candidate_pattern_mx_found,https://www.tradingview.com/advertising-info; https://www.tradingview.com/media-kit; https://www.tradingview.com/partner-program; https://www.tradingview.com/media-kit/; https://www.tradingview.com/advertising-info/; https://www.tradingview.com/partner-program/; https://www.tradingview.com/advertising-info/; https://in.tradingview.com/advertising-info/; https://de.tradingview.com/advertising-info/; https://fr.tradingview.com/advertising-info/; https://es.tradingview.com/advertising-info/; https://it.tradingview.com/advertising-info/; https://pl.tradingview.com/advertising-info/; https://tr.tradingview.com/advertising-info/; https://www.tradingview.com/media-kit/; https://in.tradingview.com/media-kit/; https://de.tradingview.com/media-kit/; https://fr.tradingview.com/media-kit/; https://es.tradingview.com/media-kit/; https://it.tradingview.com/media-kit/; https://pl.tradingview.com/media-kit/; https://tr.tradingview.com/media-kit/; https://www.tradingview.com/partner-program/; https://in.tradingview.com/partner-program/; https://de.tradingview.com/partner-program/; https://fr.tradingview.com/partner-program/; https://es.tradingview.com/partner-program/; https://it.tradingview.com/partner-program/; https://pl.tradingview.com/partner-program/; https://tr.tradingview.com/partner-program/,https://x.com/tradingview/; https://www.youtube.com/@TradingView; https://www.linkedin.com/company/tradingview/; https://t.me/tradingview/; https://www.tiktok.com/@tradingview/,https://www.tradingview.com/ideas/crypto/,100,Candidate role emails only. Not verified. Use only after manual verification and lawful basis review.,Crypto exchange affiliate/partner outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
CONTACT-2026-08-25-010,Review,Trading Education Provider,Stocks / Options,Trading Education & How To Trade Stocks | Trading Academy,tradingacademy.com,mx_found,,,,partnerships@tradingacademy.com; partners@tradingacademy.com; affiliate@tradingacademy.com; affiliates@tradingacademy.com; advertising@tradingacademy.com; ads@tradingacademy.com; media@tradingacademy.com; business@tradingacademy.com,candidate_pattern_mx_found,,https://twitter.com/TradingAcademy; https://www.linkedin.com/company/online-trading-academy,https://www.tradingacademy.com,46,Candidate role emails only. Not verified. Use only after manual verification and lawful basis review.,Trading platform partnership outreach,Review page for creator/community fit; use contact page or candidate role email only after manual verification.
